id;name;slug;institution;institution_logo;category;main_rate_label;main_rate_value;main_rate_numeric;description;benefits;apply_url;info_url;meta_data;badges;is_featured;is_promoted;rating;review_count;is_active;sort_order;created_at;updated_at;target_audience;Tipo de institucion
00eaba4b-c453-42a6-a39b-f1574f21172e;Préstamo de Nómina BBVA;prestamo-de-nomina-bbva-bbva-mexico;BBVA;https://www.bbva.mx/content/dam/public-web/global/images/logos/logo_bbva.svg;personal_loan;Tasa de Interés Anual;23.75% a 37.45% sin IVA;306000;Préstamo personal con tasa fija desde 23.75% hasta 37.45% sin IVA, montos de $2,000 a $1,500,000 pesos, plazos de 6 a 72 meses, sin aval ni garantía, con descuento automático vía nómina;"[""Descuento automático vía nómina"",""Sin aval ni garantía requerida"",""Montos desde $2,000 hasta $1,500,000 MXN"",""Plazos flexibles de 6 a 72 meses"",""Tasa fija durante todo el plazo"",""Proceso rápido y digital"",""Acceso a crédito sin trámites complicados""]";;;"{""gat_real"":null,""min_amount"":null,""min_income"":null,""gat_nominal"":null,""credit_limit_max"":null}";[];FALSO;FALSO;0;0;VERDADERO;0;23/11/2025 14:44;27/11/2025 10:42;personal;Banco
01cfa310-1c7a-430e-97f6-3d3316204f52;Tarjeta LikeU Santander;tarjeta-likeu-santander-santander-mexico;Santander;https://www.santander.com.mx/assets/img/santander-logo.svg;credit_card;CAT Promedio;Variable según perfil crediticio;;Tarjeta de crédito sin anualidad con cashback hasta 6% en farmacias, 5% en restaurantes, 4% en telecomunicaciones y 1% en supermercados. Disponible en 6 colores que apoyan diferentes causas sociales. CVV dinámico para compras seguras en línea y beneficios Visa/Mastercard Gold.;"[""Cashback hasta 6% en farmacias"",""Cashback 5% en restaurantes"",""Cashback 4% en telecomunicaciones"",""Cashback 1% en supermercados"",""Sin anualidad"",""CVV dinámico para compras seguras"",""Beneficios Visa/Mastercard Gold"",""Disponible en 6 colores con apoyo a causas sociales""]";https://www.santander.com.mx/personas/tarjetas-de-credito/likeu.html;;"{""gat_real"":null,""min_amount"":null,""min_income"":null,""gat_nominal"":null,""credit_limit_max"":null}";[];FALSO;FALSO;0;0;VERDADERO;0;23/11/2025 14:44;27/11/2025 10:42;personal;Banco
033fcfac-f12a-4b13-b33b-95301f79d418;Crédito de Nómina BBVA;credito-de-nomina-bbva-bbva-mexico;BBVA;https://www.bbva.mx/content/dam/public-web/global/images/logos/logo_bbva.svg;personal_loan;Tasa de Interés Anual;Variable según perfil crediticio;;Financiamiento para empleados con nómina BBVA desde $2,000 hasta $1,500,000 pesos, con tasa fija, plazos de 3 a 72 meses, sin comisión por contratación y con seguro de vida incluido;"[""Tasa fija durante todo el plazo"",""Seguro de vida incluido"",""Sin comisión por contratación"",""Plazos flexibles de 3 a 72 meses"",""Montos desde $2,000 hasta $1,500,000 MXN"",""Descuento en nómina automático"",""Acceso rápido para empleados BBVA""]";https://www.bbva.mx/personas/productos/creditos/prestamos-personales/prestamo-nomina.html;;"{""gat_real"":null,""min_amount"":null,""min_income"":null,""gat_nominal"":null,""credit_limit_max"":null}";[];FALSO;FALSO;0;0;VERDADERO;0;23/11/2025 14:44;27/11/2025 10:42;personal;Banco
0607a7ac-8121-434a-9781-349e5ec37feb;Mifel Miles & More World Elite;mifel-miles-more-world-elite-banca-mifel;Banca Mifel;;credit_card;CAT Promedio;21.9% sin IVA;219000;Una tarjeta de crédito ideal para viajeros, que te permite acumular millas para canjearlas por vuelos y otros beneficios de viaje.;"[""Acumulación de millas Lufthansa Miles & More"",""Acceso a salas VIP en aeropuertos"",""Seguro de viaje incluido"",""Protección de compras y fraude"",""Asistencia médica internacional 24/7"",""Descuentos en hoteles y rentadoras de autos""]";https://www.mifel.com.mx/personas/tarjetas-de-credito;;"{""gat_real"":null,""min_amount"":null,""min_income"":null,""gat_nominal"":null,""credit_limit_max"":null}";[];FALSO;FALSO;0;0;VERDADERO;0;23/11/2025 14:44;27/11/2025 10:42;personal;Banco
0a76708f-c07a-42f6-b874-b283bbdbf523;Tarjeta de Crédito World Elite Santander;tarjeta-de-credito-world-elite-santander-santander-mexico;Santander;https://www.santander.com.mx/assets/img/santander-logo.svg;credit_card;CAT Promedio;21.9% sin IVA;219000;Tarjeta de crédito de la más alta gama, con un programa de recompensas excepcional y beneficios premium en viajes y estilo de vida.;"[""Programa de recompensas World Elite con puntos acumulables"",""Acceso a salas VIP en aeropuertos nacionales e internacionales"",""Seguro de viaje internacional incluido"",""Protección de compras y garantía extendida"",""Concierge 24/7 para asistencia personal"",""Cashback en categorías seleccionadas"",""Acceso prioritario a eventos y experiencias exclusivas""]";https://www.santander.com.mx/personas/tarjetas-de-credito/World-Elite.html;;"{""gat_real"":null,""min_amount"":null,""min_income"":null,""gat_nominal"":null,""credit_limit_max"":null}";[];FALSO;FALSO;0;0;VERDADERO;0;23/11/2025 14:44;27/11/2025 10:42;personal;Banco
0dfc0ded-0d9a-4584-94be-fb9b5d9b5f50;Tarjeta de Crédito HSBC Advance Platinum;tarjeta-de-credito-hsbc-advance-platinum-hsbc;HSBC;;credit_card;CAT Promedio;21.9% sin IVA;219000;Tarjeta de crédito con beneficios exclusivos en viajes y estilo de vida, diseñada para clientes de alta gama.;"[""Acceso a salas VIP en aeropuertos nacionales e internacionales"",""Seguro de viaje incluido"",""Protección de compras y fraude"",""Cashback en categorías selectas"",""Atención al cliente 24/7 prioritaria"",""Descuentos en hoteles y restaurantes de lujo"",""Puntos bonus en viajes""]";https://www.hsbc.com.mx/tarjetas-de-credito/productos/advance-platinum/;;"{""gat_real"":null,""min_amount"":null,""min_income"":null,""gat_nominal"":null,""credit_limit_max"":null}";[];FALSO;FALSO;0;0;VERDADERO;0;23/11/2025 14:44;27/11/2025 10:42;personal;Banco
0ea8d444-2e5f-4051-838c-f5a30e594df0;CetesDirecto;cetes-directo;Gobierno de México;/images/institutions/cetes.svg;investment;GAT Real;11.25%;112500;Invierte en valores gubernamentales directamente. La inversión más segura de México respaldada por el Gobierno Federal.;"[""Inversión desde $100 MXN"",""Respaldo del Gobierno Federal"",""Sin comisiones"",""Liquidez según el instrumento"",""Exento de ISR hasta cierto monto""]";https://www.cetesdirecto.com/;;"{""guaranteed"":true,""risk_level"":""muy_bajo"",""instruments"":[""CETES"",""BONDES"",""UDIBONOS""],""min_investment"":100,""government_backed"":true}";"[""Gobierno Federal"",""Sin Comisiones"",""Riesgo Muy Bajo""]";VERDADERO;FALSO;480;15234;VERDADERO;0;21/11/2025 12:06;27/11/2025 10:42;personal;Banco
15bcfa49-8930-4064-8385-5978753fe8b0;Tarjeta de Crédito Bank of America Customized Cash Rewards;tarjeta-de-credito-bank-of-america-customized-cash-rewards-bank-of-america;Bank of America;;credit_card;CAT Promedio;Variable desde 18.9% sin IVA;189000;Una tarjeta de crédito que ofrece recompensas personalizables de dinero en efectivo en la categoría de tu elección.;"[""Cashback personalizable hasta 3% en categoría elegida"",""Cashback 1% en todas las demás compras"",""Sin anualidad"",""Acceso a ofertas exclusivas de Bank of America"",""Protección de compras y fraude"",""Programa de viajes con millas""]";https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/es/;;"{""gat_real"":null,""min_amount"":null,""min_income"":null,""gat_nominal"":null,""credit_limit_max"":null}";[];FALSO;FALSO;0;0;VERDADERO;0;23/11/2025 14:44;27/11/2025 10:42;personal;Banco
1d65e158-fd56-474c-973c-3806fef74979;GBM+;gbm-plus;GBM Grupo Bursátil Mexicano;/images/institutions/gbm.svg;investment;Rendimiento Variable;Variable;0;Plataforma de inversión para acceder a la Bolsa Mexicana de Valores y mercados internacionales.;"[""Acceso a BMV y mercados internacionales"",""Smart Cash con rendimiento diario"",""Sin monto mínimo de apertura"",""ETFs y acciones fraccionadas"",""App moderna y fácil de usar""]";https://gbm.com/;;"{""markets"":[""BMV"",""NYSE"",""NASDAQ""],""risk_level"":""variable"",""min_investment"":0,""smart_cash_rate"":""11%"",""fractional_shares"":true}";"[""Sin Mínimo"",""Acciones Fraccionadas"",""Smart Cash""]";VERDADERO;FALSO;460;9876;VERDADERO;0;21/11/2025 12:06;27/11/2025 10:42;personal;Banco
1e5f30d2-194b-4b83-94c7-c351874c735a;Affinity Card Banamex;affinity-card-banamex-citibanamex;Banamex;https://www.citibanamex.com/resources/img/logo-citi.svg;credit_card;CAT Promedio;21.9% sin IVA;219000;Tarjeta de crédito que te ofrece descuentos y meses sin intereses en tiendas de Grupo Inditex.;"[""Descuentos exclusivos en tiendas Grupo Inditex (Zara, Pull & Bear, Bershka, Stradivarius)"",""Meses sin intereses en compras Inditex"",""Acceso a promociones especiales y preventas"",""Programa de puntos en compras"",""Atención al cliente prioritaria"",""Protección de compras""]";https://www.banamex.com/es/personas/tarjetas-credito/tarjeta-affinity.html;;"{""gat_real"":null,""min_amount"":null,""min_income"":null,""gat_nominal"":null,""credit_limit_max"":null}";[];FALSO;FALSO;0;0;VERDADERO;0;23/11/2025 14:44;27/11/2025 10:42;personal;Banco
